Product_id;sht_id;hersteller_produkt_nummer;bild_name_wurzel;anzahl_von_bilder;marke;produkt_name;detaillierte_beschreibung;zusammengefaste_beschreibung;produkt_merkmale;category;wärmeleistung;wasserwärmeleistung;energieeffizienz_heizung;energieeffizienz_wasser;effizienz_classe;speicherkapazität;energie_träger;services;dokumente;hersteller_produkt_url;gewicht;preis;gc_ek
1;VAVKK226.4;10007508;Vaillant_ecoVIT_VKK_AT_226.4-E_H_Erdgas;3;Vaillant;Vaillant Gas-Brennwertkessel ecoVIT VKK AT 226/4-E H Erdgas;eBUS Electronik, kompakter Hochleistungs-Wärmetauscher mit NTC-Fühlern, Multi-Sensorik-System, Normnutzungsgrad 109%, schadstoffarm NOx < 55 mg/kWh, modulierender Flächenbrenner, Aqua-Kondens-System, digitale Informationsanzeige (DIA-System) mit beleuchtetem Klartextdisplay zur Anzeige von Gerätestatus, Wartungs- und Störungsmeldung und zur Einstellung der Geräteparameter, System proE für schnellen und unverwechselbaren Elektroanschluss, separate Rücklaufanschlüsse für optimale Kondensation und Schichtung, Ausstattung: Edelstahl-Brennwertkessel, Wasserdruck-Sensor, Sicherheitstemperaturbegrenzer, vorbereitet zum Anschluss der systemzertifizierten Vaillant Luft-/Abgasführungen, Kondenswassersammler mit integriertem Sifon, verstellbare Kesselfüße, interne Speicherladeregelung, Kessel Füll- und Entleerungseinrichtung. Vaillant Luft/Abgassysteme und Flüssiggas-Umstellsatz als Zubehör erhältlich.  3 Jahre Garantie, Inbetriebnahme durch den Vaillant Werkskundendienst im Gerätepreis inkludiert.  Wärmegarantie plus - für Komfort auf höchstem Niveau;Vaillant Gas-Brennwertkessel ecoVIT VKK AT 226/4-E H Erdgas Gas-Brennwertkessel exclusiv VKK ecoVIT ;NULL;Heizung;22;NULL;0,91;NULL;A;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=VAVKK226.4;100;4381;2450,55
2;VAVSC146;10015596;Vaillant_ecoCompact_VSC_146.4-5_90;2;Vaillant;Vaillant ecoCompact VSC 146/4-5 90 ;Das Multitalent in neuem Design Als Gas-Kompaktgerät, das Brennwerttechnik und Schichtladespeicher kombiniert, ist der ecoCOMPACT universell in Ein- bis Dreifamilienhäusern einsetzbar. Die stromsparenden Hocheffizienz-Pumpen für Heizungs- und Speicherladebetrieb sorgen gemeinsam mit der effizienten Vaillant Brennwerttechnik für eine entlastete Haushaltskasse. Aqua-Power-Plus stellt bis zu 21 % Mehrleistung bei der Warmwasserbereitung zur Verfügung – und die äußerst kompakten Abmessungen sorgen stets für eine Installation nach Wunsch. Mit dem einheitlichen Vaillant Bedienkonzept lässt sich der ecoCOMPACT einfach und intuitiv bedienen. Die großzügig dimensionierten Bedienelemente und das beleuchtete Informations- und Analysedisplay mit Klartextanzeige (DIA-System) lassen in puncto Anwenderfreundlichkeit keine Wünsche offen.;Gas-Kompaktgerät Brennwert ecoCompact VSC AT ;Normnutzungsgrad (Hi) 109 % Aqua-Power-Plus für erhöhten Warmwasserkomfort. Aqua-Kondens-System, Speicherladeregelung mit Brennwertnutzung. Drehzahlgeregelte Hocheffizienzpumpe(n) Multi-Sensorik-System Digitale Informationsanzeige mit beleuchtetem Klartextdisplay Einsetzbar in der Mehrfachbelegung mit bis zu 5 Geräten an einer Luft- Abgasführung Flüssiggas-Umstellsatz von Erdgas H auf Flüssiggas als Ersatzteil erhältlich 3 Jahre Wärmegarantie-plus - Paket für Komfort und Sicherheit auf höchstem Niveau. Inbetriebnahme durch den Vaillant Werkskundendienst inkludiert. Garantierter „vor Ort Servicetermin” innerhalb von 24 Stunden Optionale Fernsteuerung der Heizung über Internet oder Smartphone.;Heizung;16,3;NULL;92;83;A;90;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=VAVSC146  https://www.vaillant.at/privatanwender/produkte/ecocompact-vsc-2944.de_at.html;118;4222;2361,61
3;VAVSC206.150;10015602;Vaillant_Kompaktgerät_Brennwert_ecoCOMPACT_VSC_206.4-5_150;2;Vaillant;Vaillant Kompaktgerät Brennwert ecoCOMPACT VSC 206/4-5 150 ;Das Multitalent in neuem Design Als Gas-Kompaktgerät, das Brennwerttechnik und Schichtladespeicher kombiniert, ist der ecoCOMPACT universell in Ein- bis Dreifamilienhäusern einsetzbar. Die stromsparenden Hocheffizienz-Pumpen für Heizungs- und Speicherladebetrieb sorgen gemeinsam mit der effizienten Vaillant Brennwerttechnik für eine entlastete Haushaltskasse. Aqua-Power-Plus stellt bis zu 21 % Mehrleistung bei der Warmwasserbereitung zur Verfügung – und die äußerst kompakten Abmessungen sorgen stets für eine Installation nach Wunsch. Mit dem einheitlichen Vaillant Bedienkonzept lässt sich der ecoCOMPACT einfach und intuitiv bedienen. Die großzügig dimensionierten Bedienelemente und das beleuchtete Informations- und Analysedisplay mit Klartextanzeige (DIA-System) lassen in puncto Anwenderfreundlichkeit keine Wünsche offen.;Gas-Kompaktgerät Brennwert auroCompact VSC S Solar 206/4-5, 150 Liter;Normnutzungsgrad (Hi) 109 % Aqua-Power-Plus für erhöhten Warmwasserkomfort. Aqua-Kondens-System, Speicherladeregelung mit Brennwertnutzung. Drehzahlgeregelte Hocheffizienzpumpe(n) Multi-Sensorik-System Digitale Informationsanzeige mit beleuchtetem Klartextdisplay Einsetzbar in der Mehrfachbelegung mit bis zu 5 Geräten an einer Luft- Abgasführung Flüssiggas-Umstellsatz von Erdgas H auf Flüssiggas als Ersatzteil erhältlich 3 Jahre Wärmegarantie-plus - Paket für Komfort und Sicherheit auf höchstem Niveau. Inbetriebnahme durch den Vaillant Werkskundendienst inkludiert. Garantierter „vor Ort Servicetermin” innerhalb von 24 Stunden Optionale Fernsteuerung der Heizung über Internet oder Smartphone.;Heizung;24,5;NULL;92;84;A;150;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=VAVSC206.150  https://www.vaillant.at/privatanwender/produkte/ecocompact-vsc-2944.de_at.html;139;4813;2761,24
4;VAVSC206;10015600;Vaillant_ecoCompact_VSC_206.4-5_90;2;Vaillant;Vaillant ecoCompact VSC 206/4-5 90;Das Multitalent in neuem Design Als Gas-Kompaktgerät, das Brennwerttechnik und Schichtladespeicher kombiniert, ist der ecoCOMPACT universell in Ein- bis Dreifamilienhäusern einsetzbar. Die stromsparenden Hocheffizienz-Pumpen für Heizungs- und Speicherladebetrieb sorgen gemeinsam mit der effizienten Vaillant Brennwerttechnik für eine entlastete Haushaltskasse. Aqua-Power-Plus stellt bis zu 21 % Mehrleistung bei der Warmwasserbereitung zur Verfügung – und die äußerst kompakten Abmessungen sorgen stets für eine Installation nach Wunsch. Mit dem einheitlichen Vaillant Bedienkonzept lässt sich der ecoCOMPACT einfach und intuitiv bedienen. Die großzügig dimensionierten Bedienelemente und das beleuchtete Informations- und Analysedisplay mit Klartextanzeige (DIA-System) lassen in puncto Anwenderfreundlichkeit keine Wünsche offen.;Gas-Kompaktgerät Brennwert ecoCompact VSC AT;Normnutzungsgrad (Hi) 109 % Aqua-Power-Plus für erhöhten Warmwasserkomfort. Aqua-Kondens-System, Speicherladeregelung mit Brennwertnutzung. Drehzahlgeregelte Hocheffizienzpumpe(n) Multi-Sensorik-System Digitale Informationsanzeige mit beleuchtetem Klartextdisplay Einsetzbar in der Mehrfachbelegung mit bis zu 5 Geräten an einer Luft- Abgasführung Flüssiggas-Umstellsatz von Erdgas H auf Flüssiggas als Ersatzteil erhältlich 3 Jahre Wärmegarantie-plus - Paket für Komfort und Sicherheit auf höchstem Niveau. Inbetriebnahme durch den Vaillant Werkskundendienst inkludiert. Garantierter „vor Ort Servicetermin” innerhalb von 24 Stunden Optionale Fernsteuerung der Heizung über Internet oder Smartphone.;Heizung;24,5;NULL;92;83;A;90;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=VAVSC206  https://www.vaillant.at/privatanwender/produkte/ecocompact-vsc-2944.de_at.html;118;4280;2394,06
5;VA0010018377;10018377;Vaillant_Warmwasserwärmepumpe_aroSTOR_VWL_BM_290.4;1;Vaillant;Vaillant Warmwasserwärmepumpe aroSTOR VWL BM 290/4;Warmwasserbereitung mit Luft – perfekt fürs Einfamilienhaus Die Warmwasserwärmepumpe aroSTOR ist die ideale Lösung für die umweltschonende und flexible Warmwasserbereitung im Einfamilienhaus: ideal zum Austausch eines alten Warmwasserspeichers. Die aroSTOR VWL BM 290/4 ist mit einem Wärmetauscher zur Nachheizung durch einen Wärmeerzeuger oder eine Solaranlage ausgestattet und hat ein Fassungsvermögen von 290 Liter. Als Luft/Wasser-Wärmepumpe gewinnt aroSTOR die Energie zur Erwärmung des Wassers aus der Umgebungsluft, also z.B. aus dem Raum, in dem sie steht. So wird im Sommer wie auch im Winter die natürliche Wärme genutzt. Dabei kann die kühle Abluft der Wärmepumpe durch einen Abluftkanal ins Freie geleitet werden. Oder in einen anderen Raum, z.B. in die Vorratskammer, zur Kühlung. Die Warmwasserwärmepumpe aroSTOR lässt sich besonders leicht aufstellen: am gewünschten Ort platzieren, Stecker in die Steckdose, fertig!;VAILLANT Warmwasserwärmepumpe aroSTOR VWL BM 290/4;Warmwassertemperatur im Wärmepumpenbetrieb bis zu 60°C möglich Elektrozusatzheizung (1,5 kW) Intelligente Nutzung von selbsterzeugter Energie (PV) Frei wählbarer Sollwert für Kompressorbetrieb bei PV Ertrag Boostfunktion (einmalige Speicherladung mit maximal möglicher Leistung) Legionellenschutzfunktion zur thermischen Entkeimung bei ca. 65 °C Regelung für alle drei Arten der Wärmeerzeugung (inkl. automatischer Umschaltung): Wärmepumpenbetrieb, Elektro-Zusatzheizung, Kesselbetrieb Sicherheitskältemittel R 134 A (chlorfrei, ohne Ozonzerstörungspotenzial);Wärmepumpe;1,65;NULL;1,24;NULL;A;290;Erdwärme;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=VA0010018377  https://www.vaillant.at/privatanwender/produkte/arostor-8340.de_at.html;120;2995;1250,87
6;BAXILUNA3.180;202301*;Luna-Kamin-Kombitherme_LUNA3_180i;2;Baxi;Luna-Kamin-Kombitherme LUNA3 180i;Elektronische raumluftabhängige (180i, 240i), raumluftunabhängige (240Fi) Gas-Kombitherme, elektr. Zündung, zündflammenlos mit Ionisationsüberwachung, stetig lektronisch geregelte Modulation. Alle erforderlichen Steuer- und Sicherheitseinrichtungen eingebaut, Abgasaustrittswächter, Frostschutzsicherung, Wassermangelsicherung, Pumpenblockierschutz, Heizungsumwälzpumpe und Ausdehnungsgefäß eingebaut, Grundfos Pumpe. WW-Plattenwärmetauscher aus Edelstahl, Edelstahlbrenner, alle Anschlussarmaturen, Gasabsperrhahn, KW/WW Anschlüsse und VL/RL Anschlüsse serienmäßig inkl. Absperreinrichtung, direkte Fülleinrichtung. Ansprechendes Design mit Bedienblende, Temperatur-, Funktions- und Störungsanzeige mit Leuchtdioden, witterungsgeführte Regelung eingebaut. Eingestellt auf Erdgas;Baxi Kombitherme Serie LUNA3 Blue ;NULL;Kombigerät;9,3;17,5;NULL;NULL;NULL;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=BAXILUNA3.180    http://www.baxi.at/index.php?id=192&backPID=192&tt_products=262;31;2170;812
7;BAXILUNAPLA1.24;231333;SET_Luna_Platinum_1.24;2;Baxi;SET Luna Platinum 1.24 Heiztherme+ Absperrung 231293 Brennwert-Kombitherme+ Absperrung 231291 ;Eingebaute, abnehmbare Bedienkonsole auch als Fernsteuerung geeignet (Schnittstelle mit Halterung zusätzlich erforderlich (Ausführung mit BUS-Verbindung o. Wireless-LAN). Hohes Modulationsverhältnis 1:10. Autom. Erkennung der Gasart (GAC-System). Autom. Verbrennungssteuerung. Integrierte Steuerung einer Solaranlage. Kompl. Schalldämmung der Brennereinheit. Modulierende Umwälzpumpe. Einfache Installation und Wartung durch Zugang von vorne. Elektr. 3-Wege Umschaltventil (auch bei Heizthermen). Brenner und Wärmetauscher aus Edelstahl AISI 316 L. Autom. Bypass. Antiblockierschutz für Pumpe und 3-Wege Ventil (24 Std. Intervall). Eingebaute witterungsgeführte Regelung (AF optional erforderlich). Alle erforderlichen Sicherheitskomponenten eingebaut. Option einer Mehrzonensystemsteuerung. Option einer Kaskadeninstallation Lieferumfang: Therme inkl. Anschlussset Inbetriebnahme durch unseren Kundendienst;Heiztherme+ Absperrung 231293 SET Luna Platinum Gas-Brennwerttherme Serie Luna Duo-tec;NULL;Sets;24,7;26,1;NULL;NULL;NULL;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=BAXILUNAPLA1.24   http://www.baxi.at/index.php?id=193&backPID=193&tt_products=487;34,5;2555;NULL
8;JUZSB24.4C23;7736900118;Junkers_Gas-Brennwertgerät_Cerapur_ZSB_24-4_C_23;2;Junkers;Junkers Gas-Brennwertgerät Cerapur ZSB 24-4 C 23 ;Komplett anschlussfertige Brennwertheizung mit seitlich angebrachtem Ausdehnungsgefäß, Manometer, Sicherheitsventil, Pumpe und Umsteuerventil. Zum Anschluss eines Warmwasserspeichers oder als Kombivariante mit integrierter Warmwasserbereitung. Die Heatronic 4i Steuerung gewährleistet eine einfache Bedienung. Alle relevanten Informationen sind über das große Textdisplay abrufbar.Optionale Einbaumöglichkeit für witterungsgeführte Regler (FW 120 oder FW 200). Der Wärmeblock aus Aluminium-Silizium-Legierung mit großer Wärmetauscherfläche bietet einen hohen Wirkungsgrad und eine zeitsparende, einfache Inspektion.;CERAPUR Gas-Brennwertgerät ZSB 24-4 C 23;NULL;Heizung;23,1;24,1;0,92;NULL;A;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=JUZSB24.4C23;45;2837;NULL
9;JUZWB30.4C23;7736900119;Junkers_Brennwert-Combi-Kesseltherme_Cerapur, _ZWB_30-4_C_23;2;Junkers;Junkers Brennwert-Combi-Kesseltherme Cerapur, ZWB 30-4 C 23 ;Komplett anschlussfertige Brennwertheizung mit seitlich angebrachtem Ausdehnungsgefäß, Manometer, Sicherheitsventil, Pumpe und Umsteuerventil. Zum Anschluss eines Warmwasserspeichers oder als Kombivariante mit integrierter Warmwasserbereitung. Die Heatronic 4i Steuerung gewährleistet eine einfache Bedienung. Alle relevanten Informationen sind über das große Textdisplay abrufbar.Optionale Einbaumöglichkeit für witterungsgeführte Regler (FW 120 oder FW 200). Der Wärmeblock aus Aluminium-Silizium-Legierung mit großer Wärmetauscherfläche bietet einen hohen Wirkungsgrad und eine zeitsparende, einfache Inspektion.;CERAPUR Gas-Brennwertgerät  ZWB 30-4 C 23;NULL;Kombigerät;23;NULL;0,92;NULL;A;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=JUZWB30.4C23;45;3367;NULL
10;JUZWR24.7KE23;7716010484;Junkers_Cerastar_Comfort_Gas-Heizwertgerät_ZWR_24-7KE23_Erdgas;2;Junkers;Junkers Cerastar Comfort Gas-Heizwertgerät ZWR 24-7KE23 Erdgas ;Zentralheizungsgerät für Erd- und Flüssiggas (Flüssiggas mit separat zu bestellendem Umrüstsatz), Wandmontage, Schornsteinanschluss, stufenlose Leistungsanpassung (Heizung und Warmwasser), Verkleidung weiß, Bedienfeld abgedeckt, Edelstahlwärmeblock, eingebaute Abgasüberwachung AGÜ, für Niedertemperaturbetrieb und Fußbodenheizung geeignet, Warmwasserbereitung integriert. Sofort Warmwasser-Darbietung wählbar (Komfortschaltung);Gas-Heizwertgerät ZWR 24-7KE23 Erdgas JUNKERS CERASTAR Heatronic Kombi-Kesseltherme ;Wassergekühlter, selbst vormischender atmosphärischer Lamellenbrenner Thermostar, stetiggeregelte Gasarmatur, Sicherheitseinrichtungen nach EN12828, Steuergerät: Bosch Heatronic, BUS-fähig, Ausdehnungsgefäß, automatischer Schnellentlüfter, Manometer, Sicherheitsventil, Temperaturbegrenzer in 24 V DC Stromkreis, Ceraster mit drehzahlgeregelter Pumpe, Ceraster Comfort mit Energiesparpumpe Energieeffizienzklasse A, LED-Multifunktionanzeige für Vorlauftemperatur und Betriebszustände, Abgastemperaturblende ATP, Wassermengensensor, Abgasüberwachung AGÜ;Heizung;24,3;NULL;0,77;NULL;C ;NULL;Gas;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=JUZWR24.7KE23;39;3441;NULL
11;NULL;7736700515;Logamax_plus_GB192i;2;Buderus;Logamax plus GB192i;Wandhängendes Gas-Brennwertgerät. Mit kompakter Dimensionierung, modernstem Design, modulierender Leistung und A+-Energieeffizienz bringt der neue Logamax plus GB192i höchsten Warmwasserkomfort. Hier trifft bewährte Buderus Qualität auf Zukunftstechnologie: millionenfach bewährter AluGuss Wärmetauscher mit ablagerungsresistenter ALU plus Technologie mit 10 Jahren Wärmetauscher-Garantie solide Frontverkleidung aus Buderus  mit Touchscreen Display schnelle Montage durch kompatible Anschlüsse zu den Vorgängern Logamax plus GB112, GB142, GB162 (Kompatible Ausführungen finden Sie in den Fragen zum Produkt) sicher vernetzt: der Logamax GB192i ist per Apps sowie über das Buderus Control Center Connect kontrollier- und steuerbar internet-ready und smart-home-fähig;Buderus Logamax plus GB192i Gas Brennwert Therme 15 25 35 50 kW Titaniumglas;NULL;Heizung;15;30;0,93;NULL;A;NULL;Gas;335;NULL;http://www.buderus-zukunft.at/logamax-plus-gb192i/;48;NULL;NULL
12;SMHWPA303ELF;A41159 ;SaniMeister_Brauchwasserwärmepumpe_Type_WPA303_E-LF_1830.3330_W ;2;AUSTRIA EMAIL;SaniMeister Brauchwasserwärmepumpe Type WPA303 E-LF, 1830/3330 W ;Wärmepumpenset (Standspeicher mit eingeschweißtem Hochleistungsrohrregister, integrierter Wärmepumpe und Elektroheizung, speziell für Brauchwasserbereitung), Deckel mit 2 Anschlussstutzen Ø 150 mm (Zu- und Abluft), keine Wärmeübertragungsverluste zwischen Wärmepumpe und Speicher, erprobte, bewährte Technologie, leicht montierbar, in allen Anlagen einfach integrierbar, keine elektrische und kältetechnische Anschlussarbeit erforderlich, das Gerät ist in Kompaktausführung gebaut und steckfertig, Korrosionsschutz durch hochwertige Emaillierung entsprechend der DIN 4753 und Magnesiumschutzanode, der Speicher ist mit einer hochwertigen Isolierung (FCKW- und HFCKW-frei) ausgestattet, vielfältige Betriebsmöglichkeiten (Aufheizung über Wärmepumpe oder Heizkessel), Kombinationsbetrieb Wärmepumpe + Elektrozusatzheizung bzw. Wärmepumpe + Kessel möglich, Steuerung der Umwälzpumpe des Heizkessels über eingebaute Elektronik, Sparbetrieb mit mind. 40°C möglich, mittels E-Heizung auf 65°C aufheizbar, automatische Ausschaltung der Wärmepumpe bei Temperaturen unter 7°C, digitale Temperaturanzeige, integrierter Legionellenschutz, ermöglicht zusätzlich zur Warmwasserbereitung die Kühlung eines Raumes, kurze Amortisationszeit, absolut umweltfreundlich;Type WPA303 E-LF, 1830/3330 W  SaniMeister Brauchwasser-Wärmepumpe;Technische Daten: Heizleistung Wärmepumpe: 1620 W / 3120 W (mit Elektroheizung), Leistungsaufnahme Wärmepumpe: 520 W / 2020 W (mit Elektroheizung), Eektro-Heizstab: 1500 W, COP: 3,2 1, Spannung/Frequenz: 230 V / 50 Hz, Elektrische Absicherung: 16 A, Kältemittel/Füllmasse: R 134 A / 0,7 kg, Arbeitsbereich Wärmepume: 7°C + 35°C, maximale Wassertemperatur: 55°C bis 65°C (mit Elektroheizung Wärmepumpenbetrieb bis max. 60°C), Legionellenschutz: ca 60°C, nötiger Luftdurchsatz: 500 m³/h, Länge des Anschlusskabels: ca. 2 m, Registerheizfläche: 1,20 m², Speicherschutz: Magnesiumanode, Wärmedämmung: 50 mm PU, Luftkanalanschluss: 150 mm / max. 10;Wärmepumpe;1,8;NULL;1,35;NULL;A;NULL;Erdwärme;335;NULL;https://www.sht-gruppe.at/1579_DE-Erweiterte%20Suche%2dProduktdetailseite.htm?sonderartnr=&mbnr=SMHWPA303ELF   http://www.austria-email.at/produkte/brauchwasser-waermepumpe/brauchwasser-waermepumpe-wpa-303-e-lf/;175;2604;1134,75